SUB_HAP,SUB_SAT,SUB_SLP,DIC_PAR,DIC_FRI,DIC_OTH,ULT_PRO_PAR,ULT_PRO_FRI,ULT_PRO_OTH,ULT_REC_PAR,ULT_REC_FRI,ULT_REC_OTH,TRU_PAR,TRU_FRI,TRU_OTH,SPN_UNM,SPN_THK,SPN_FEA,SPN_LIV,SPN_IMP,KAN_SEC,KAN_THI,KAN_SUP,KAN_PRD,KAN_KYK,DED_SHI,DED_TEN,DED_JIG,DED_KIS,DED_PUN,SEX_IMP,SEX_MAS,SEX_SEX,SEX_OBJ,SEX_NIN,SEX_NNA,SEX_IMP_num,SEX_MAS_nen,SEX_SEX_nen,SEX_NIN_cen,F_SEX,F_GEN_2,F_GEN,F_FGR,F_INK,F_INS,F_INK_cen,F_INS_cen,F_TAN,ARE,PRE,MAR,CHI,ID
4,4,9,10,5,3,10,5,5,0,1,1,10,5,3,1,3,3,3,4,1,2,1,2,3,1,1,1,3,3,4,6,5,Isei,N2-3nin,0,4,52,26,2.5,male,50_bf,50dai,Sen_Sotsu,y200-400,y200-400,3,3,PC(Windows),Hokkaido,1,Married,Child,1
6,5,8,3,1,0,3,5,7,3,5,5,2,1,0,2,3,3,2,3,3,3,2,2,3,2,2,2,3,3,3,3,,Isei,,2,3,4,,,male,40_bf,40dai,Mas_Shu,y1-200,y400-600,1,5,PC(Windows),Chubu,16,NotMarried,NoChild,2
5,3,3,10,5,0,10,5,0,10,5,0,10,5,0,2,3,3,2,3,3,3,3,2,2,3,2,2,3,3,6,7,5,Isei,N2-3nin,0,6,130,26,2.5,male,40_af,40dai,Dai_Chu,y400-600,y600-800,5,7,PC(Windows),Chubu,23,Married,Child,3
5,5,4,2,0,0,5,5,5,5,5,5,2,2,2,4,3,3,3,3,2,2,4,4,3,2,2,2,3,3,,,,Isei,,4,,,,,male,40_bf,40dai,Dai_Sotsu,y0,Unknown,0,,PC(Windows),Kanto,14,NotMarried,NoChild,4
3,3,2,0,0,0,5,5,0,5,5,0,10,10,1,1,2,3,3,3,1,1,1,1,3,4,4,4,2,3,4,,,Isei,,3,4,,,,male,40_af,40dai,Sen_Chu,y0,Unknown,0,,PC(Windows),Kyushu,40,Married,NoChild,5
7,7,6,3,1,0,3,1,0,3,1,0,5,3,0,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,5,7,4,Isei,N31-50nin,0,5,130,12,35.5,male,40_bf,40dai,Dai_Sotsu,y200-400,y400-600,3,5,PC(Windows),Chubu,23,NotMarried,Child,6
5,5,6,5,2,0,5,3,2,0,1,1,10,5,0,2,2,2,2,3,3,3,1,3,4,4,2,4,2,2,4,8,0,Isei,N0nin,0,4,365,0,0,male,40_bf,40dai,Dai_Chu,y200-400,y200-400,3,3,PC(Windows),Kanto,13,NotMarried,NoChild,7
5,5,8,5,5,0,5,5,0,5,5,0,5,8,0,4,4,4,4,3,4,4,4,3,3,3,3,3,3,4,3,6,4,Ryoho,N21-30nin,0,3,52,12,25.5,female,30_af,30dai,Mas_Shu,y1200-1500,y1500-2000,13.5,17.5,PC(Windows),Chubu,16,Married,Child,8
1,3,1,10,5,0,10,5,0,10,5,0,10,8,4,3,4,4,4,4,3,1,1,1,3,3,3,3,4,4,5,6,4,Isei,N4-5nin,0,5,52,12,4.5,male,40_af,40dai,Dai_Sotsu,y400-600,y400-600,5,5,SMA(android),Chubu,21,NotMarried,NoChild,9
7,7,5,5,5,0,5,5,5,5,5,0,3,3,0,2,3,3,3,3,2,2,2,2,3,2,2,2,3,2,5,7,7,Isei,N11-15nin,0,5,130,130,13,male,30_af,30dai,Kou_Sotsu,y400-600,y600-800,5,7,SMA(android),Kanto,13,Married,NoChild,10
5,5,3,3,2,0,3,5,5,3,5,3,5,1,1,1,3,3,3,4,2,3,2,3,3,3,1,1,3,3,1,,,Hoka,N1nin,2,1,,,1,female,50_bf,50dai,Sen_Sotsu,y0,Unknown,0,,PC(Windows),Kinki,28,Married,Child,11
8,7,8,4,1,1,5,4,2,5,2,0,6,3,1,3,3,3,3,4,2,3,2,3,3,3,3,3,4,3,4,6,1,Isei,N11-15nin,0,4,52,1,13,female,40_bf,40dai,Kou_Sotsu,y1-200,y1-200,1,1,PC(Windows),Tohoku,2,NotMarried,Child,12
